technique,alert_count,top_rules
T1078,19712,60106(8418) 100401(8062) 5501(2492) 5715(714) 60118(26)
T1112,2539,750(1206) 594(1004) 752(197) 598(79) 751(48) 597(5)
T1565.001,2379,750(1206) 594(1004) 550(169)
T1574.002,1583,100502(1118) 92219(465)
T1548.003,1539,5402(1536) 5403(3)
T1489,1157,60669(1156) 60778(1)
T1021,714,5715(714)
T1574.001,465,92219(465)
T1082,378,91816(269) 100300(109)
T1105,287,92205(185) 92200(38) 92213(28) 100405(24) 92203(7) 100406(4) 91811(1)
T1070.004,282,92021(207) 751(48) 553(22) 597(5)
T1570,281,92217(281)
T1059.001,188,92066(144) 100405(24) 92027(8) 91823(6) 100406(4) 91837(2)
T1543.003,171,92307(152) 61138(17) 100403(2)
T1110.001,158,5503(73) 5710(60) 5760(18) 5557(5) 100400(2)
T1057,148,100300(109) 100301(31) 91815(8)
T1562.001,117,504(50) 506(31) 100410(20) 100409(11) 100508(2) 100408(1) 100507(1) 92008(1)
T1071.001,113,100504(111) 100302(1) 100505(1)
T1087,96,92031(96)
T1021.004,78,5710(60) 5760(18)
T1485,75,751(48) 553(22) 597(5)
T1053,72,60228(72)
T1003.001,64,92900(57) 100500(7)
T1546.011,63,92058(63)
T1531,57,60122(54) 60111(3)
T1059,40,92200(38) 100501(2)
T1078.002,23,92652(17) 92657(6)
T1098,23,60109(8) 60110(7) 100402(5) 60111(3)
T1550.002,23,92652(17) 92657(6)
T1574.010,22,92206(22)
T1484,19,60154(7) 60160(6) 60170(6)
T1059.003,17,92052(15) 92004(2)
T1110,14,2502(9) 5712(5)
T1055,13,61618(12) 61640(1)
T1083,12,91820(7) 91819(4) 91842(1)
T1053.003,11,100305(11)
T1529,11,60730(6) 67018(5)
T1048.003,10,100503(10)
T1071.004,10,100503(10)
T1003.006,9,100603(9)
T1490,9,100411(9)
T1047,7,60730(6) 60747(1)
T1070.001,7,100407(7)
T1119,7,91820(7)
T1021.001,6,92657(6)
T1021.006,6,91823(6)
T1558.001,6,100604(3) 100701(3)
T1136.001,5,100402(5)
T1564.004,5,100506(5)
T1560,4,91826(4)
T1053.005,3,100404(3)
T1078.003,3,100306(3)
T1558.004,3,100601(3)
T1014,2,521(2)
T1059.004,2,100302(1) 100303(1)
T1218.005,2,100501(2)
T1218.010,2,100501(2)
T1218.011,2,100501(2)
T1055.003,1,92402(1)
T1055.012,1,92402(1)
T1059.006,1,92601(1)
T1136,1,5902(1)
T1558.003,1,100600(1)
T1562,1,92007(1)
